,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,for,for,ADP,,,,,,,0,['for'],[2005],12,12,Causal-Final Case,[ this killing of a respected cleric will be causing us trouble for years to come . ],[ This killing of a respected cleric will be causing us trouble for years to come . ]
72,reminds,remind,VERB,,Sing,3,Pres,,,1,['reminds'],[15537],1,1,Third-Person Present Tense Verb,it reminds me too much of the ar ##vn officers who were secretly working for the other side in vietnam .,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .
132,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],8,8,Third-Person Present Tense Verb,"( ku ##t is in southeastern iraq and has an overwhelmingly shi ##ite population , who are on the lookout for ba ##athi ##st sa ##bot ##eurs and willingly turn them in .","( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in ."
267,observers,observer,NOUN,,Plur,,,,,1,['observers'],[14009],12,12,Plural Noun,"( this is a largely sunni arab clan , and some sunni observers have accused shi ##ite elements in the government of being behind the assassination ; it is more likely the work of sunni arab guerrillas punish ##ing the bat ##aw ##i leaders for cooper ##ating with the dec . 15 elections . )","( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )"
757,grounds,ground,NOUN,,Plur,,,,,1,['grounds'],[5286],7,7,Plural Noun,the commission said it had no legal grounds for such an exclusion .,The Commission said it had no legal grounds for such an exclusion .
796,people,people,NOUN,,Plur,,,,,0,['people'],[2111],8,8,Plural Noun,now the electoral commission is refusing to punish people for mere past ba ##ath party membership .,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .
828,reports,report,VERB,,Sing,3,Pres,,,1,['reports'],[4311],9,9,Third-Person Present Tense Verb,al - sha ##r ##q al - aw ##sat reports that a key eye ##wi ##tness in the trial of saddam hussein for a 1982 massacre at du ##ja ##il has died .,Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .
932,rumours,rumour,NOUN,,Plur,,,,,1,['rumours'],[19200],2,2,Plural Noun,"there are rumours about preparations by sl ##um dwellers for another looting sp ##ree against banks , governmental and public property similar to the one that took place last april , and i have already overheard young ##sters in my neighbourhood joking about it and saying things like "" this time we will be the first to lo ##ot , we did n ' t get anything the last time "" .","There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."
1658,Mosques,mosque,NOUN,,Plur,,,,,1,['mosques'],[21922],0,0,Plural Noun,"mosques are calling for dona ##ting blood , food , and medicine for fall ##uj ##ah , and several convoys have already headed out for fall ##uj ##ah , most of them returned later though .","Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though ."
1844,for,for,ADP,,,,,,,0,['for'],[2005],17,17,Causal-Final Case,"speaking of fall ##uj ##ah , we have only al - ja ##zee ##ra to rely on for our news from there .","Speaking of Fallujah , we have only Al - Jazeera to rely on for our news from there ."
1882,militants,militant,NOUN,,Plur,,,,,1,['militants'],[17671],17,17,Plural Noun,"he did once make an un ##for ##gi ##vable error when he mentioned that fall ##uj ##an militants were shooting at the marines from the roofs of mosques and houses in hay al - go ##lan , but of course that is okay for al - ja ##zee ##ra .","He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al - Golan , but of course that is okay for Al - Jazeera ."
2176,for,for,SCONJ,,,,,,,0,['for'],[2005],35,35,Causal-Final Case,"he added that "" america does not understand anything except the language of force and retaliation , they were kicked out of somalia in humiliation after that soldier was dragged in mo ##ga ##dis ##hu for the whole world to see "" , and that "" the day will come when the dead bodies of americans and jews would be dragged , def ##iled , and stepped on in the arabian peninsula together with their agents and supporters "" .","He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."
3316,for,for,ADP,,,,,,,0,['for'],[2005],13,13,Causal-Final Case,"as a parent , i can well imagine how painful it must be for those families whose children are su ##cc ##umb ##ing to radiation poisoning .","As a parent , I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning ."
3436,for,for,ADP,,,,,,,0,['for'],[2005],20,20,Causal-Final Case,"one of them is the rest and rec ##up ##eration program , wherein a child can come to the us for a few weeks in the summer .","One of them is the Rest and Recuperation Program , wherein a child can come to the US for a few weeks in the summer ."
3488,children,child,NOUN,,Plur,,,,,3,['children'],[2336],13,13,Plural Noun,s . and i have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .
