,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,members,member,NOUN,,Plur,,,,,1,['members'],[2372],30,30,Plural Noun,"the moi in iraq is equivalent to the us fbi , so this would be like having j . edgar hoover un ##wi ##tting ##ly employ at a high level members of the weather ##men bombers back in the 1960s .","The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s ."
36,reminds,remind,VERB,,Sing,3,Pres,,,1,['reminds'],[15537],1,1,Third-Person Present Tense Verb,it reminds me too much of the ar ##vn officers who were secretly working for the other side in vietnam .,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .
56,individuals,individual,NOUN,,Plur,,,,,1,['individuals'],[3633],25,25,Plural Noun,al - za ##man : the iraqi high electoral commission on friday denied a request of the de ##ba ##athi ##fication commission to exclude 51 individuals from running on party lists in the dec . 15 elections on grounds of having been sufficiently involved in ba ##ath activities to warrant their being excluded from civil office .,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .
107,people,people,NOUN,,Plur,,,,,0,['people'],[2111],8,8,Plural Noun,now the electoral commission is refusing to punish people for mere past ba ##ath party membership .,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .
123,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],8,8,Third-Person Present Tense Verb,"everyone is app ##re ##hen ##sive , there is some talk that april 9th and 10th are going to be bloody days .","Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days ."
143,rumours,rumour,NOUN,,Plur,,,,,1,['rumours'],[19200],2,2,Plural Noun,"there are rumours about preparations by sl ##um dwellers for another looting sp ##ree against banks , governmental and public property similar to the one that took place last april , and i have already overheard young ##sters in my neighbourhood joking about it and saying things like "" this time we will be the first to lo ##ot , we did n ' t get anything the last time "" .","There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."
209,Mosques,mosque,NOUN,,Plur,,,,,1,['mosques'],[21922],0,0,Plural Noun,"mosques are calling for dona ##ting blood , food , and medicine for fall ##uj ##ah , and several convoys have already headed out for fall ##uj ##ah , most of them returned later though .","Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though ."
240,for,for,ADP,,,,,,,0,['for'],[2005],17,17,Causal-Final Case,"speaking of fall ##uj ##ah , we have only al - ja ##zee ##ra to rely on for our news from there .","Speaking of Fallujah , we have only Al - Jazeera to rely on for our news from there ."
259,kinds,kind,NOUN,,Plur,,,,,1,['kinds'],[7957],21,21,Plural Noun,"they have sent over their top reporter ahmed mans ##our to the town , and he is sp ##out ##ing all kinds of propaganda hourly reminding me of al - sa ##hh ##af .","They have sent over their top reporter Ahmed Mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of Al - Sahhaf ."
288,bodies,body,NOUN,,Plur,,,,,2,['bodies'],[4230],46,46,Plural Noun,"az ##zam ##an newspaper mentioned an announcement signed by abdul aziz bin mu ##q ##rin , an al - qaeda operative in saudi arabia on an islamic website ' the voice of jihad ' , in which he stated that "" although mu ##tila ##ting dead bodies is not originally permitted in islam , but in this case it is allowed if muslims use it against in ##fide ##ls to deter them from committing criminal actions "" .","Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."
358,myths,myth,NOUN,,Plur,,,,,1,['myths'],[17218],5,5,Plural Noun,"one of the most widespread myths of recent times is that the cher ##nob ##yl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .","One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation ."
