,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,"i guess it ' s just the old new arab ' me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' the enemy of my enemy is my friend ' thing going on again .","I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again ."
192,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,elena ' s motorcycle tour through the region around cher ##nob ##yl has revived interest in one of the most serious nuclear disasters in history .,Elena 's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history .
284,women,woman,NOUN,,Plur,,,,,0,['women'],[2308],13,13,Plural Noun,". . . a drop in the birth rate , a deterioration in women ' s reproductive health , an increase in complications during pregnancy and birth , and a deterioration in neon ##atal health . . . .","... a drop in the birth rate , a deterioration in women 's reproductive health , an increase in complications during pregnancy and birth , and a deterioration in neonatal health ...."
476,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",5,6,Genitive Case,the cher ##nob ##yl children ' s project ( http : / / www . adi ##cc ##p . org / home / default . as ##p ) offers several ways to help the children of that region .,The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .
533,restrictions,restriction,NOUN,,Plur,,,,,1,['restrictions'],[9259],4,4,Plural Noun,"on the other , restrictions should be lifted on the mainstream muslim league - n and pakistan people ' s party , who can defeat the mma in fair elections if not hog ##tie ##d by the secret police .","On the other , restrictions should be lifted on the mainstream Muslim League - N and Pakistan People 's Party , who can defeat the MMA in fair elections if not hogtied by the secret police ."
755,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",13,14,Genitive Case,al - za ##wa ##hir ##i attempted to use mu ##sha ##rra ##f ' s lack of progress in helping the muslims of that indian state as a justification for his overthrow .,Al - Zawahiri attempted to use Musharraf 's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow .
911,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"but sharon ' s iron fist is simply not working as a means of establishing general peace , and the bush administration will have to finally apply effective pressure on sharon to stop his outrage ##s in and colonization of the west bank and gaza .","But Sharon 's iron fist is simply not working as a means of establishing general peace , and the Bush administration will have to finally apply effective pressure on Sharon to stop his outrages in and colonization of the West Bank and Gaza ."
1307,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"sharon ' s hard line has worked in tandem with hamas ' s terrorism to rat ##chet up tensions further and further , which spill over into the muslim world and serve as a recruiting tool for al - qaeda in its search for agents willing to hit the united states .","Sharon 's hard line has worked in tandem with Hamas 's terrorism to ratchet up tensions further and further , which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States ."
1699,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",11,12,Genitive Case,"3 ) make iraq another afghanistan , using the republican right ' s own tactics against them .","3 ) Make Iraq another Afghanistan , using the Republican Right 's own tactics against them ."
1733,nationalists,nationalist,NOUN,,Plur,,,,,1,['nationalists'],[17934],10,10,Plural Noun,"the thing to keep in mind is that sunni arab nationalists and ba ##athi ##sts and local sunni radicals are likely to remain far more dangerous to the us in iraq than al - qaeda in ##fi ##lt ##rator ##s , and it would be dangerous to take one ' s eyes off the former ball .","The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball ."
2183,'s,us,PRON,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,let ' s just remember a seminal bush moment in 1999 :,Let 's just remember a seminal Bush moment in 1999 :
2205,fails,fail,VERB,,Sing,3,Pres,,,1,['fails'],[11896],2,2,Third-Person Present Tense Verb,' bush fails reporter ' s pop quiz on international leaders,' Bush fails reporter 's pop quiz on international leaders
2215,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",8,9,Genitive Case,"hill ##er replied : "" no , it ' s four questions of four leaders in four hot spots . "" . . .","Hiller replied : "" No , it 's four questions of four leaders in four hot spots . "" . . ."
