,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,forces,force,NOUN,,Plur,,,,,1,['forces'],[2749],6,6,Plural Noun,"al - za ##man : american forces killed sha ##ikh abdullah al - an ##i , the preacher at the mosque in the town of q ##ai ##m , near the syrian border .","Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border ."
29,for,for,ADP,,,,,,,0,['for'],[2005],12,12,Causal-Final Case,[ this killing of a respected cleric will be causing us trouble for years to come . ],[ This killing of a respected cleric will be causing us trouble for years to come . ]
101,authorities,authority,NOUN,,Plur,,,,,2,['authorities'],[4614],4,4,Plural Noun,d ##pa : iraqi authorities announced that they had busted up 3 terrorist cells operating in baghdad .,DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .
169,officials,official,NOUN,,Plur,,,,,1,['officials'],[4584],8,8,Plural Noun,two of them were being run by 2 officials of the ministry of the interior !,Two of them were being run by 2 officials of the Ministry of the Interior !
217,members,member,NOUN,,Plur,,,,,1,['members'],[2372],30,30,Plural Noun,"the moi in iraq is equivalent to the us fbi , so this would be like having j . edgar hoover un ##wi ##tting ##ly employ at a high level members of the weather ##men bombers back in the 1960s .","The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s ."
397,targets,target,NOUN,,Plur,,,,,1,['targets'],[7889],11,11,Plural Noun,you wonder if he was manipulating the market with his bombing targets .,You wonder if he was manipulating the market with his bombing targets .
436,cells,cell,NOUN,,Plur,,,,,1,['cells'],[4442],1,1,Plural Noun,the cells were operating in the g ##ha ##zal ##iya ##h and al - jihad districts of the capital .,The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .
468,cells,cell,NOUN,,Plur,,,,,1,['cells'],[4442],15,15,Plural Noun,"although the announcement was probably made to show progress in identifying and breaking up terror cells , i do n ' t find the news that the ba ##athi ##sts continue to penetrate the iraqi government very hopeful .","Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful ."
853,reminds,remind,VERB,,Sing,3,Pres,,,1,['reminds'],[15537],1,1,Third-Person Present Tense Verb,it reminds me too much of the ar ##vn officers who were secretly working for the other side in vietnam .,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .
933,bombings,bombing,NOUN,,Plur,,,,,1,['bombings'],[20109],9,9,Plural Noun,"the police commander of nine ##vah province announced that bombings had declined 80 percent in mo ##sul , whereas there had been a big jump in the number of kidnapping ##s .","The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings ."
1136,guerrillas,guerrilla,NOUN,,Plur,,,,,1,['guerrillas'],[26955],2,2,Plural Noun,on wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .
1212,bombs,bomb,NOUN,,Plur,,,,,1,['bombs'],[9767],11,11,Plural Noun,"in su ##way ##rah , ku ##t province , two car bombs were discovered before they could be detonated .","In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated ."
