Layer,Marker,Precision,Recall,F1-Score
1,Accusative,0.64,0.45714285714285713,0.5333333333333333
2,Accusative,0.6341463414634146,0.7428571428571429,0.6842105263157895
3,Accusative,0.5806451612903226,0.5142857142857142,0.5454545454545455
4,Accusative,0.6764705882352942,0.6571428571428571,0.6666666666666666
5,Accusative,0.6097560975609756,0.7142857142857143,0.6578947368421052
6,Accusative,0.5121951219512195,0.6,0.5526315789473684
7,Accusative,0.5238095238095238,0.6285714285714286,0.5714285714285715
8,Accusative,0.631578947368421,0.6857142857142857,0.6575342465753424
9,Accusative,0.625,0.5714285714285714,0.5970149253731343
10,Accusative,0.68,0.4857142857142857,0.5666666666666667
11,Accusative,0.6666666666666666,0.7428571428571429,0.7027027027027027
12,Accusative,0.5555555555555556,0.42857142857142855,0.48387096774193544
