Layer,Marker,Precision,Recall,F1-Score
1,Causal_final,0.5945945945945946,0.6470588235294118,0.619718309859155
2,Causal_final,0.9090909090909091,0.8823529411764706,0.8955223880597014
3,Causal_final,0.8378378378378378,0.9117647058823529,0.8732394366197184
4,Causal_final,0.7419354838709677,0.6764705882352942,0.7076923076923077
5,Causal_final,0.631578947368421,0.7058823529411765,0.6666666666666667
6,Causal_final,0.5666666666666667,0.5,0.53125
7,Causal_final,0.85,0.5,0.6296296296296295
8,Causal_final,0.7741935483870968,0.7058823529411765,0.7384615384615385
9,Causal_final,0.6333333333333333,0.5588235294117647,0.59375
10,Causal_final,0.5357142857142857,0.4411764705882353,0.4838709677419355
11,Causal_final,0.5909090909090909,0.38235294117647056,0.46428571428571425
12,Causal_final,0.6,0.5294117647058824,0.5625
