Layer,Marker,Precision,Recall,F1-Score
1,Dative,0.625,0.4411764705882353,0.5172413793103449
2,Dative,0.7916666666666666,0.5588235294117647,0.6551724137931034
3,Dative,0.7352941176470589,0.7352941176470589,0.735294117647059
4,Dative,0.6363636363636364,0.6176470588235294,0.6268656716417911
5,Dative,0.5625,0.5294117647058824,0.5454545454545455
6,Dative,0.5161290322580645,0.47058823529411764,0.4923076923076923
7,Dative,0.75,0.35294117647058826,0.48
8,Dative,0.8064516129032258,0.7352941176470589,0.7692307692307693
9,Dative,0.625,0.5882352941176471,0.6060606060606061
10,Dative,0.5357142857142857,0.4411764705882353,0.4838709677419355
11,Dative,0.48,0.35294117647058826,0.4067796610169491
12,Dative,0.5925925925925926,0.47058823529411764,0.5245901639344261
