Layer,Marker,Precision,Recall,F1-Score
1,Genitive,0.6785714285714286,0.5588235294117647,0.6129032258064516
2,Genitive,0.5714285714285714,0.5882352941176471,0.5797101449275363
3,Genitive,0.5882352941176471,0.5882352941176471,0.5882352941176471
4,Genitive,0.6470588235294118,0.6470588235294118,0.6470588235294118
5,Genitive,0.5862068965517241,0.5,0.5396825396825397
6,Genitive,0.7083333333333334,0.5,0.5862068965517241
7,Genitive,0.5161290322580645,0.47058823529411764,0.4923076923076923
8,Genitive,0.5882352941176471,0.5882352941176471,0.5882352941176471
9,Genitive,0.6216216216216216,0.6764705882352942,0.6478873239436619
10,Genitive,0.53125,0.5,0.5151515151515151
11,Genitive,0.8064516129032258,0.7352941176470589,0.7692307692307693
12,Genitive,0.5,0.4411764705882353,0.46875
