Layer,Marker,Precision,Recall,F1-Score
1,Plural,0.6166666666666667,1.0,0.7628865979381444
2,Plural,0.6166666666666667,1.0,0.7628865979381444
3,Plural,0.6166666666666667,1.0,0.7628865979381444
4,Plural,0.6875,0.8918918918918919,0.7764705882352941
5,Plural,0.7674418604651163,0.8918918918918919,0.825
6,Plural,0.6170212765957447,0.7837837837837838,0.6904761904761905
7,Plural,0.6166666666666667,1.0,0.7628865979381444
8,Plural,0.6296296296296297,0.918918918918919,0.7472527472527473
9,Plural,0.6140350877192983,0.9459459459459459,0.7446808510638299
10,Plural,0.6166666666666667,1.0,0.7628865979381444
11,Plural,0.6166666666666667,1.0,0.7628865979381444
12,Plural,0.6851851851851852,1.0,0.8131868131868133
