Layer,Marker,Precision,Recall,F1-Score
1,Sublative,0.5416666666666666,0.38235294117647056,0.44827586206896547
2,Sublative,0.5,0.23529411764705882,0.31999999999999995
3,Sublative,0.6086956521739131,0.4117647058823529,0.4912280701754386
4,Sublative,0.5833333333333334,0.4117647058823529,0.4827586206896552
5,Sublative,0.625,0.5882352941176471,0.6060606060606061
6,Sublative,0.4827586206896552,0.4117647058823529,0.4444444444444445
7,Sublative,0.5925925925925926,0.47058823529411764,0.5245901639344261
8,Sublative,0.5882352941176471,0.5882352941176471,0.5882352941176471
9,Sublative,0.5384615384615384,0.4117647058823529,0.4666666666666667
10,Sublative,0.6206896551724138,0.5294117647058824,0.5714285714285715
11,Sublative,0.7142857142857143,0.5882352941176471,0.6451612903225806
12,Sublative,0.625,0.29411764705882354,0.4
