Layer,Marker,Precision,Recall,F1-Score
1,Translative,0.42857142857142855,0.17647058823529413,0.25
2,Translative,0.0,0.0,0.0
3,Translative,0.7142857142857143,0.7352941176470589,0.7246376811594202
4,Translative,0.6538461538461539,0.5,0.5666666666666668
5,Translative,0.65625,0.6176470588235294,0.6363636363636364
6,Translative,0.78125,0.7352941176470589,0.7575757575757576
7,Translative,0.7241379310344828,0.6176470588235294,0.6666666666666667
8,Translative,0.7333333333333333,0.6470588235294118,0.6875
9,Translative,0.7894736842105263,0.8823529411764706,0.8333333333333333
10,Translative,0.84,0.6176470588235294,0.711864406779661
11,Translative,0.4,0.058823529411764705,0.10256410256410256
12,Translative,0.0,0.0,0.0
