Layer,Marker,Precision,Recall,F1-Score
1,VerbConjugation,0.5789473684210527,0.6111111111111112,0.5945945945945946
2,VerbConjugation,0.6666666666666666,0.6111111111111112,0.6376811594202899
3,VerbConjugation,0.7419354838709677,0.6388888888888888,0.6865671641791045
4,VerbConjugation,0.6071428571428571,0.9444444444444444,0.7391304347826088
5,VerbConjugation,0.7142857142857143,0.6944444444444444,0.7042253521126761
6,VerbConjugation,0.6078431372549019,0.8611111111111112,0.7126436781609194
7,VerbConjugation,0.6,0.6666666666666666,0.631578947368421
8,VerbConjugation,0.6774193548387096,0.5833333333333334,0.626865671641791
9,VerbConjugation,0.7105263157894737,0.75,0.7297297297297298
10,VerbConjugation,0.6764705882352942,0.6388888888888888,0.6571428571428571
11,VerbConjugation,0.6060606060606061,0.5555555555555556,0.5797101449275361
12,VerbConjugation,0.6153846153846154,0.6666666666666666,0.64
