Layer,Marker,Precision,Recall,F1-Score
1,Accusative,0.52,0.38235294117647056,0.4406779661016949
2,Accusative,0.6,0.35294117647058826,0.4444444444444445
3,Accusative,0.5,0.2647058823529412,0.3461538461538462
4,Accusative,0.6363636363636364,0.4117647058823529,0.5
5,Accusative,0.6785714285714286,0.5588235294117647,0.6129032258064516
6,Accusative,0.5555555555555556,0.29411764705882354,0.3846153846153846
7,Accusative,0.5,0.47058823529411764,0.48484848484848486
8,Accusative,0.6666666666666666,0.4117647058823529,0.509090909090909
9,Accusative,0.5714285714285714,0.47058823529411764,0.5161290322580646
10,Accusative,0.5454545454545454,0.35294117647058826,0.42857142857142855
11,Accusative,0.5555555555555556,0.4411764705882353,0.49180327868852464
12,Accusative,0.5161290322580645,0.47058823529411764,0.4923076923076923
