Layer,Marker,Precision,Recall,F1-Score
1,Causal_final,0.4827586206896552,0.4117647058823529,0.4444444444444445
2,Causal_final,0.6923076923076923,0.5294117647058824,0.5999999999999999
3,Causal_final,0.6896551724137931,0.5882352941176471,0.6349206349206349
4,Causal_final,0.7096774193548387,0.6470588235294118,0.6769230769230768
5,Causal_final,0.5454545454545454,0.35294117647058826,0.42857142857142855
6,Causal_final,0.6538461538461539,0.5,0.5666666666666668
7,Causal_final,0.5945945945945946,0.6470588235294118,0.619718309859155
8,Causal_final,0.7,0.20588235294117646,0.3181818181818182
9,Causal_final,0.6956521739130435,0.47058823529411764,0.5614035087719297
10,Causal_final,0.0,0.0,0.0
11,Causal_final,0.0,0.0,0.0
12,Causal_final,0.52,0.38235294117647056,0.4406779661016949
