Layer,Marker,Precision,Recall,F1-Score
1,Dative,0.45,0.2647058823529412,0.33333333333333337
2,Dative,0.6296296296296297,0.5,0.5573770491803278
3,Dative,0.5909090909090909,0.38235294117647056,0.46428571428571425
4,Dative,0.6,0.5294117647058824,0.5625
5,Dative,0.6666666666666666,0.5294117647058824,0.5901639344262295
6,Dative,0.6451612903225806,0.5882352941176471,0.6153846153846154
7,Dative,0.4666666666666667,0.4117647058823529,0.43749999999999994
8,Dative,0.7407407407407407,0.5882352941176471,0.6557377049180328
9,Dative,0.7142857142857143,0.4411764705882353,0.5454545454545455
10,Dative,0.625,0.4411764705882353,0.5172413793103449
11,Dative,0.375,0.2647058823529412,0.31034482758620696
12,Dative,0.875,0.20588235294117646,0.33333333333333337
