Layer,Marker,Precision,Recall,F1-Score
1,Genitive,0.7,0.8235294117647058,0.7567567567567567
2,Genitive,0.6111111111111112,0.6470588235294118,0.6285714285714287
3,Genitive,0.6578947368421053,0.7352941176470589,0.6944444444444445
4,Genitive,0.5454545454545454,0.5294117647058824,0.5373134328358209
5,Genitive,0.6571428571428571,0.6764705882352942,0.6666666666666666
6,Genitive,0.5357142857142857,0.4411764705882353,0.4838709677419355
7,Genitive,0.5714285714285714,0.47058823529411764,0.5161290322580646
8,Genitive,0.5555555555555556,0.4411764705882353,0.49180327868852464
9,Genitive,0.52,0.38235294117647056,0.4406779661016949
10,Genitive,0.5757575757575758,0.5588235294117647,0.5671641791044776
11,Genitive,0.5806451612903226,0.5294117647058824,0.5538461538461539
12,Genitive,0.6923076923076923,0.5294117647058824,0.5999999999999999
