Layer,Marker,Precision,Recall,F1-Score
1,Plural,0.5333333333333333,0.47058823529411764,0.5
2,Plural,0.6896551724137931,0.5882352941176471,0.6349206349206349
3,Plural,0.5238095238095238,0.3235294117647059,0.39999999999999997
4,Plural,0.5625,0.5294117647058824,0.5454545454545455
5,Plural,0.7096774193548387,0.6470588235294118,0.6769230769230768
6,Plural,0.6333333333333333,0.5588235294117647,0.59375
7,Plural,0.7857142857142857,0.3235294117647059,0.45833333333333326
8,Plural,0.5,0.23529411764705882,0.31999999999999995
9,Plural,0.6333333333333333,0.5588235294117647,0.59375
10,Plural,0.6551724137931034,0.5588235294117647,0.6031746031746031
11,Plural,0.53125,0.5,0.5151515151515151
12,Plural,0.5882352941176471,0.5882352941176471,0.5882352941176471
