Layer,Marker,Precision,Recall,F1-Score
1,Sublative,0.0,0.0,0.0
2,Sublative,0.6875,0.6470588235294118,0.6666666666666667
3,Sublative,0.5428571428571428,0.5588235294117647,0.5507246376811593
4,Sublative,0.7142857142857143,0.7352941176470589,0.7246376811594202
5,Sublative,0.625,0.4411764705882353,0.5172413793103449
6,Sublative,0.68,0.5,0.576271186440678
7,Sublative,0.6666666666666666,0.5294117647058824,0.5901639344262295
8,Sublative,0.7894736842105263,0.4411764705882353,0.5660377358490566
9,Sublative,0.7931034482758621,0.6764705882352942,0.7301587301587301
10,Sublative,0.6071428571428571,0.5,0.5483870967741935
11,Sublative,0.6071428571428571,0.5,0.5483870967741935
12,Sublative,0.65625,0.6176470588235294,0.6363636363636364
