Layer,Marker,Precision,Recall,F1-Score
1,Translative,0.7391304347826086,0.5,0.5964912280701754
2,Translative,0.5384615384615384,0.4117647058823529,0.4666666666666667
3,Translative,0.5862068965517241,0.5,0.5396825396825397
4,Translative,0.5161290322580645,0.47058823529411764,0.4923076923076923
5,Translative,0.6818181818181818,0.4411764705882353,0.5357142857142857
6,Translative,0.5,0.2647058823529412,0.3461538461538462
7,Translative,0.5151515151515151,0.5,0.5074626865671642
8,Translative,0.64,0.47058823529411764,0.5423728813559322
9,Translative,0.8181818181818182,0.5294117647058824,0.6428571428571428
10,Translative,0.75,0.17647058823529413,0.2857142857142857
11,Translative,0.6190476190476191,0.38235294117647056,0.4727272727272727
12,Translative,0.6666666666666666,0.4117647058823529,0.509090909090909
